Ids,Molecular Weight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Log(BCF),Log(Koc),Parachor,Index of Refraction,Surface Tension,Density,Polarizability,LogS (pH = 7.40),LogP,LogD (pH = 7.40),LogSw|LogSw,LogSw|pH,pKa(Acid)|pKa,pKa(Base)|pKa,Neutral form (pH = 7.40),Negative form (pH = 7.40),Positive form (pH = 7.40),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics)
CID4951,0.1089970107,0.0547945205,0.0695652174,0.0660469076,0.0198675497,0.7954545455,0,0.2625,0.2441860465,0,0.375,0,0,0,0.125,0.5,0.5304309196,0.530726257,0.2782467731,0.4210526316,0.3342363911,0.3010752688,0.2788718291,0.5587703436,0.6898136947,0.7327035288,0.5654923216,0.5658465991,0.5866942434,0,1,0,0,0.8939977241,0.9479812881,0.7224565674,0.3029224162,0.6829065696,0.1030996858,0.124722401
CID25099191,0.1124924367,0.0410958904,0.0869565217,0.0791375224,0.0529801325,0.5227272727,0.28,0.425,0.4418604651,0.095890411,0.1875,0.3333333333,0,0,0,0.3,0.5384273656,0.5381750466,0.2123186351,0.4842105263,0.4253402218,0.5698924731,0.2179016466,0.6491862568,0.6871521897,0.6751875521,0.5176151762,0.3943560058,0.2992071699,0.4612034838,0,1,0,0.9157477011,0.9693222002,0.8595590977,0.2837797454,0.6091460899,0.0769088971,0.0939372792
CID67505836,0.1896009951,0.0547945205,0.1217391304,0.0917761931,0.0794701987,0.75,0.16,0.275,0.2558139535,0.0410958904,0.625,0.5555555556,0.3333333333,0,0.75,0.3,0.6277210129,0.6275605214,0.477777407,0.4842105263,0.4047379032,0.3440860215,0.491599911,0.3616636528,0.7752238084,0.8305084746,0.3685636856,0.5701881331,0.525336091,0.6159936659,0,0,1,0.8187268587,0.9000099657,0.8258673717,0.4006932672,0.6321937656,0.175596612,0.2084084691
DB00310,0.0658372715,0.0547945205,0.052173913,0.0619426241,0.0132450331,0.625,0.12,0.3375,0.3720930233,0.0684931507,0.1875,0.2222222222,0,0,0.125,0.2,0.3740559751,0.3736809435,0.1399617389,0.4947368421,0.3993825605,0.4408602151,0.1508678238,0.6410488246,0.6307766755,0.6649069186,0.647696477,0.513748191,0.4681144433,0.2434679335,0.99,0.01,0,0.9397049984,0.9794868838,0.826352926,0.2316833777,0.5913472995,0.0536146788,0.0663217544
DB00672,0.0518848084,0.0273972603,0.0434782609,0.0439594512,0.0264900662,0.5681818182,0.16,0.3625,0.4069767442,0.0821917808,0.0625,0.1111111111,0,0,0,0.1,0.4766770324,0.4767225326,0.1189931986,0.3473684211,0.2356980847,0.2956989247,0.1179906542,0.7902350814,0.6733607549,0.6590719644,0.6296296296,0.3335745297,0.3023095484,0.3337292162,0,1,0,0.9529152443,0.9855102301,0.8157009306,0.2384613969,0.6071892545,0.0475605283,0.0529573754
CID2997,0.0505284751,0.0136986301,0.0260869565,0.0217879121,0.0066225166,0.7954545455,0.1466666667,0.2,0.1860465116,0.0684931507,0.1875,0.2222222222,0,0,0,0.2,0.5055530875,0.5052762259,0.1192100858,0.4631578947,0.2542842742,0.2903225806,0.1384067646,0.5560578662,0.6919912896,0.7352042234,0.5627822945,0.5680173661,0.5422268183,0.5233570863,1,0,0,0.9565884998,0.9853374318,0.8616106638,0.3020162441,0.6423872949,0.0459771788,0.0608711588
CID56928089,0.2393871983,0.0547945205,0.1913043478,0.1496355543,0.0993377483,0.7159090909,0.12,0.35,0.3255813953,0,0.25,0.1111111111,0,0,0.25,0.1,0.3789426921,0.3792675357,0.6498217632,0.3684210526,0.3029863911,0.252688172,0.6133733867,0.5235081374,0.6452939753,0.6815782162,0.5302619693,0.5651230101,0.5270596346,0.360253365,0.88,0,0.12,0.7662427796,0.8221404767,0.6514542953,0.3194700946,0.7200310725,0.2382432102,0.2581016702
DB00593,0.0213909276,0.0136986301,0.0260869565,0.0242630946,0.0066225166,0.6931818182,0.1333333333,0.375,0.3488372093,0,0.0625,0,0,0,0.125,0,0.4118169702,0.4115456238,0.0559457671,0.2421052632,0.136655746,0.1505376344,0.0510680908,0.8851717902,0.6288410356,0.6626840789,0.891598916,0.4211287988,0.4725956567,0.2236737926,1,0.01,0,0.9776818068,0.9935292084,0.8118519457,0.1706406022,0.7393042296,0.026054218,0.0285067737
DB00615,0.1801538977,0.0684931507,0.1304347826,0.1080199066,0.0331125828,0.75,0.0933333333,0.3125,0.2906976744,0,0.4375,0.1111111111,0,0,0.25,0.3,0.5153265215,0.5152079454,0.4293476145,0.4210526316,0.2391633065,0.3010752688,0.4633400089,0.4873417722,0.7224776192,0.6985273687,0.4923215899,0.6179450072,0.2523267839,0.7719714964,0,0.03,0.17,0.8264380987,0.8830088283,0.7484058225,0.3590209913,0.5666665671,0.1751706829,0.2006723125
DB01340,0.0835460805,0.0273972603,0.0695652174,0.0521207216,0.059602649,0.7272727273,0.1333333333,0.3375,0.3139534884,0,0.1875,0.1111111111,0,0,0,0.2,0.4238116393,0.4239602731,0.2221758788,0.3894736842,0.3096648185,0.2580645161,0.2180685358,0.9457504521,0.6450520203,0.5840511253,0.8265582656,0.3871201158,0.2168217856,0.6155977831,0,0.99,0,0.918969036,0.9641451845,0.793031965,0.3309234311,0.7563082903,0.0871165558,0.0951063611
DB01006,0.0538102168,0,0.0434782609,0.041142683,0.0331125828,0.7727272727,0.3066666667,0.2875,0.2674418605,0,0.1875,0.3333333333,0,0,0.125,0.2,0.4637938694,0.4636871508,0.1445552979,0.4736842105,0.2784148185,0.2365591398,0.1638295505,0.5298372514,0.6745705299,0.7151986663,0.5365853659,0.5658465991,1,0.4711005542,1,0,0,0.953643492,0.9832578161,0.9258438488,0.2213907499,0.6193548057,0.0528340463,0.0651612775
CID219022,0.0783659221,0.0410958904,0.0695652174,0.050086973,0.059602649,0.7159090909,0.28,0.35,0.3255813953,0,0.25,0.3333333333,0,0,0.125,0.3,0.4055975122,0.4053382992,0.1877325281,0.4947368421,0.2890625,0.311827957,0.215565198,0.9294755877,0.6489233003,0.6087802167,0.6883468835,0.8053545586,0.6466735608,0.7517814727,0,0,1,0.9278504671,0.9704404427,0.8758941176,0.4277682596,0.6174349126,0.0795925604,0.0958250543
CID208901,0.0815149545,0.0136986301,0.0608695652,0.0564982737,0.0728476821,0.7045454545,0,0.3125,0.3372093023,0,0.125,0.2222222222,0,0,0,0.2,0.4877832075,0.4878957169,0.2046803139,0.3684210526,0.2580645161,0.2688172043,0.201435247,0.8444846293,0.6905395596,0.6371214226,0.5808491418,0.3429811867,0.2630127542,0,0,1,0,0.9212388316,0.9717452171,0.7573286298,0.3234430677,0.5954931185,0.0816539146,0.0865047931
CID444008,0.0599170905,0.0136986301,0.0173913043,0.0196017636,0.0066225166,0.9318181818,0,0.1125,0.1046511628,0,0.25,0,0,0,0.125,0.3,0.5348733896,0.5350713842,0.1682404889,0.3684210526,0.2400453629,0.1935483871,0.1700600801,0.5045207957,0.7176385192,0.7646568491,0.5112917796,0.5658465991,0.5897966219,0,1,0,0,0.9477793151,0.9767986706,0.8311787034,0.3182107654,0.7784277148,0.0649104623,0.0791263489
CID17755248,0.1538144905,0.0410958904,0.1043478261,0.0769303533,0.0264900662,0.7727272727,0.0266666667,0.2875,0.2674418605,0,0.625,0,0,0,0.5,0.3,0.5299866726,0.5301055245,0.3943648265,0.3789473684,0.2867313508,0.2795698925,0.3874610592,0.6283905967,0.7065085894,0.696304529,0.4977416441,0.7199710564,0.5711823509,0.7454473476,0.01,0,0.99,0.849888623,0.910938972,0.6892270096,0.2889955358,0.7634618822,0.1472590586,0.1717536685
DB01265,0.0441224434,0.0410958904,0.0608695652,0.0520786803,0.0132450331,0.5681818182,0.16,0.5125,0.476744186,0,0.125,0,0,0,0.125,0.1,0.3616170591,0.3612662942,0.0984639939,0.3789473684,0.3336063508,0.3602150538,0.0948486871,0.8309222423,0.5966610211,0.6257293693,0.837398374,0.4384949349,0.4705274043,0,0.99,0.01,0,0.9514838335,0.984717816,0.7794544358,0.2858233471,0.7070564582,0.0434466129,0.0466228933
DB05109,0.1609987831,0.0547945205,0.1217391304,0.1019607019,0.0264900662,0.7159090909,0.08,0.325,0.3255813953,0,0.625,0.3333333333,0,0,0.125,0.7,0.5033318525,0.5034140286,0.3839236557,0.5368421053,0.4905493952,0.4193548387,0.4032042724,0.7368896926,0.6944108396,0.737704918,0.7434507678,0.5832127352,0.4736297828,0.5866983373,0.98,0.01,0.01,0.8457906957,0.9048025167,0.8085696481,0.3756012424,0.6923719165,0.1378284036,0.1744542567
DB00811,0.0445655572,0.0684931507,0.0782608696,0.0755272244,0.0198675497,0.4318181818,0.32,0.6625,0.6162790698,0,0.125,0.1111111111,0,0,0.25,0,0.322523323,0.3227808814,0.0728101347,0.6315789474,0.6139742944,0.7043010753,0.0843346684,0.9086799277,0.5707718364,0.5959988886,0.9150858175,0.5694645441,0.584625991,0.4564528899,1,0,0,0.9493716426,0.9846279167,0.8012677428,0.2100180783,0.7135930361,0.0413947982,0.0437888926
CID16222096,0.1091454651,0.0410958904,0.0434782609,0.0339483628,0.0264900662,0.6931818182,0.1333333333,0.2125,0.1976744186,0.1780821918,0.25,0.2222222222,0,0.5,0,0.3,0.6001776988,0.600248293,0.2108143279,0.4631578947,0.3298891129,0.5,0.2258566978,0.5452079566,0.7488507138,0.7335370936,0.4823848238,0.6570188133,0.590830748,0.7996832937,0,0,1,0.9095151468,0.9654184442,0.80859394,0.3578741779,0.6371875524,0.080525065,0.0954907787
